_key,_ts,time_ms,time_iso,hash,coin,usdc,szi,fundingRate,nSamples,type
funding-868daa4b742b4d56c1a7c6548abbc682dfdfff41,1785596400003,1785596400003,2026-08-01T23:00:00.003000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.00289,-0.062,0.00000625,,funding
funding-b8bbaa251ac4917e42a86468ed3f7b1be80291eb,1785600000043,1785600000043,2026-08-02T00:00:00.043000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.00289,-0.062,0.00000625,,funding
funding-adffca7eadecf86b30e8759d0f052625a90fef53,1785603600022,1785603600022,2026-08-02T01:00:00.022000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.00289,-0.062,0.00000625,,funding
funding-5edba57753b448f2adabd7aa29e197fe0ec936ec,1785607200001,1785607200001,2026-08-02T02:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,-0.003421,-0.062,-0.0000074039,,funding
funding-ae9703b736a2cb93a747217cf1373f66aad9faad,1785610800030,1785610800030,2026-08-02T03:00:00.030000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,-0.003983,-0.062,-0.0000086279,,funding
funding-f00048912e2d01bd52c9f238b1335aa0ad7c5534,1785614400033,1785614400033,2026-08-02T04:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.002885,-0.062,0.00000625,,funding
funding-6f92bce456892c212a85a2b26942475cdf09920b,1785618000006,1785618000006,2026-08-02T05:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.002887,-0.062,0.00000625,,funding
funding-d22b419e351a99e962f1e3f44677c39612ff1742,1785621600018,1785621600018,2026-08-02T06:00:00.018000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.002889,-0.062,0.00000625,,funding
funding-ceee84430068c4469dcf5c69874d6f086b3a7d97,1785625200048,1785625200048,2026-08-02T07:00:00.048000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.00275,-0.062,0.0000059526,,funding
funding-849f725b7628d97e62e599a9eb47d3fab9fefefb,1785628800059,1785628800059,2026-08-02T08:00:00.059000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SP500,0.002889,-0.062,0.00000625,,funding
funding-684cbb035b3504f8c0af6d65ece7853f8d202eea,1785646800026,1785646800026,2026-08-02T13:00:00.026000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:TSLA,-0.000147,0.042,0.0000112596,,funding
funding-0ab0ec0091c37613a8cb8b083afb11244073bf2e,1785650400014,1785650400014,2026-08-02T14:00:00.014000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:TSLA,-0.000081,0.042,0.00000625,,funding
funding-8ba52812b6ff933664922a15a50ac885a7aae533,1785654000053,1785654000053,2026-08-02T15:00:00.053000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:TSLA,-0.000081,0.042,0.00000625,,funding
funding-bcc5afaa3c8f37ad5bb6316ce975a09014f2cb40,1785661200124,1785661200124,2026-08-02T17:00:00.124000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NVDA,-0.000639,0.511,0.00000625,,funding
funding-c47c3ea9afe806e533ac0996ba90f8ede7beb0f6,1785708000043,1785708000043,2026-08-03T06:00:00.043000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SKHY,-0.00049,0.17,0.0000193166,,funding
funding-96ff4c4a6406d734498b1099bef74e8fd8f1eebf,1785711600033,1785711600033,2026-08-03T07:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SKHY,0.001225,0.17,-0.0000484153,,funding
