_key,_ts,time_ms,time_iso,coin,dir,side,px,sz,startPosition,closedPnl,fee,feeToken,builderFee,oid,tid,hash,crossed,liquidation
fill-499913230839937,1785594624608,1785594624608,2026-08-01T22:30:24.608000+08:00,xyz:SP500,Open Short,A,7460.5,0.01,0.0,0.0,0.002148,USDC,,507832925204,499913230839937,0xa3422e3f4057fecca4bb044137eb0b01ae004624db5b1d9e470ad991ff5bd8b7,False,
fill-952465311539809,1785594627433,1785594627433,2026-08-01T22:30:27.433000+08:00,xyz:SP500,Open Short,A,7460.5,0.003,-0.01,0.0,0.000644,USDC,,507832925204,952465311539809,0x76590464d0bc0ba977d2044137eb34020117004a6bbf2a7b1a21afb78fbfe594,False,
fill-450316364891989,1785594641090,1785594641090,2026-08-01T22:30:41.090000+08:00,xyz:SP500,Open Short,A,7460.5,0.003,-0.013,0.0,0.000644,USDC,,507832925204,450316364891989,0xe32dda9c568eba72e4a7044137ebfb0208590081f181d94486f685ef1582945d,False,
fill-1040315584572674,1785594651039,1785594651039,2026-08-01T22:30:51.039000+08:00,xyz:SP500,Open Short,A,7460.5,0.004,-0.016,0.0,0.000859,USDC,,507832925204,1040315584572674,0xeedd2c34323dbd7ff056044137ec8601d5004419cd30dc5192a5d786f131976a,False,
fill-448422986817638,1785594654202,1785594654202,2026-08-01T22:30:54.202000+08:00,xyz:SP500,Open Short,A,7460.5,0.003,-0.02,0.0,0.000644,USDC,,507832925204,448422986817638,0x6c68569d460f05d16de2044137ecb501ef006e82e10224a3103101f00502dfbc,False,
fill-467123741476190,1785594673742,1785594673742,2026-08-01T22:31:13.742000+08:00,xyz:SP500,Open Short,A,7460.5,0.039,-0.023,0.0,0.008379,USDC,,507832925204,467123741476190,0x91dcb0f23d183d919356044137edc2018700c8d7d81b5c6335a55c44fc1c177c,False,
fill-1066118416655712,1785630677520,1785630677520,2026-08-02T08:31:17.520000+08:00,xyz:SP500,Close Short,B,7469.0,0.062,-0.062,-0.527,0.040009,USDC,,507832925205,1066118416655712,0xb0f0aa575d3c5faab26a04413f9af7020110003cf83f7e7c54b955aa1c303995,True,
fill-743346981514781,1785645532861,1785645532861,2026-08-02T12:38:52.861000+08:00,xyz:TSLA,Open Long,B,311.79,0.042,0.0,0.0,0.000377,USDC,,508163801267,743346981514781,0x2278c96a00bfeb2a23f2044142c70602017d004f9bb309fcc64174bcbfb3c514,False,
fill-386522908489757,1785648014667,1785648014667,2026-08-02T13:20:14.667000+08:00,ZRO,Open Long,B,0.72092,49.8,0.0,0.0,0.005169,USDC,,508164843217,386522908489757,0xaec47e48179e5e6cb03e0441434e07020256002db2917d3e528d299ad6923857,False,
fill-911161719101083,1785648910491,1785648910491,2026-08-02T13:35:10.491000+08:00,ZRO,Close Long,A,0.72039,49.8,49.8,-0.026394,0.015498,USDC,,508185798110,911161719101083,0xac30017ace335db3ada90441437e92020159006069367c854ff8accd8d37379e,True,
fill-779753058606151,1785654744969,1785654744969,2026-08-02T15:12:24.969000+08:00,xyz:TSLA,Close Long,A,311.75,0.042,0.042,-0.00168,0.001131,USDC,,508216547192,779753058606151,0x04caf618484116760644044144bf3701a9000dfde3443548a893a16b0744f060,True,
fill-408320071394511,1785659092739,1785659092739,2026-08-02T16:24:52.739000+08:00,xyz:NVDA,Open Long,B,200.48,0.511,0.0,0.0,0.00295,USDC,,508159660734,408320071394511,0x00f0ade15f534207026a044145acaf01ea00c5c6fa5660d9a4b959341e571bf1,False,
fill-398192927970240,1785663853549,1785663853549,2026-08-02T17:44:13.549000+08:00,xyz:NVDA,Close Long,A,200.2,0.511,0.511,-0.14308,0.008838,USDC,,508269292937,398192927970240,0x34fc4ca85272215d3676044146b13b020130008ded75402fd8c4f7fb1175fb47,True,
fill-899814978994112,1785706373539,1785706373539,2026-08-03T05:32:53.539000+08:00,xyz:SKHY,Open Long,B,149.56,0.17,0.0,0.0,0.002196,USDC,,508161631107,899814978994112,0x47da5bbd00b837a6495404414fd4bf02012000a29bbb5678eba3070fbfbc1190,True,
